225:384,391,439,386,396,407,434,390,392,393
148:384,391,439,386,396,407,434,390,392,393
115:384,391,439,386,396,407,434,390,392,393
60:384,391,439,386,396,407,434,390,392,393
253:384,391,439,386,396,407,434,390,392,393
231:384,391,439,386,396,407,434,390,392,393
220:384,391,439,386,396,407,434,390,392,393
143:384,391,439,386,396,407,434,390,392,393
44:384,391,439,386,396,407,434,390,392,393
171:384,391,439,386,396,407,434,390,392,393
116:384,391,439,386,396,407,434,390,392,393
94:384,391,439,386,396,407,434,390,392,393
232:384,391,439,386,396,407,434,390,392,393
177:384,391,439,386,396,407,434,390,392,393
45:384,391,439,386,396,407,434,390,392,393
249:384,391,439,386,396,407,434,390,392,393
238:384,391,439,386,396,407,434,390,392,393
172:384,391,439,386,396,407,434,390,392,393
161:384,391,439,386,396,407,434,390,392,393
150:384,391,439,386,396,407,434,390,392,393
106:384,391,439,386,396,407,434,390,392,393
18:384,391,439,386,396,407,434,390,392,393
7:384,391,439,386,396,407,434,390,392,393
211:384,391,439,386,396,407,434,390,392,393
156:384,391,439,386,396,407,434,390,392,393
46:384,391,439,386,396,407,434,390,392,393
272:384,391,439,386,396,407,434,390,392,393
250:384,391,439,386,396,407,434,390,392,393
228:384,391,439,386,396,407,434,390,392,393
217:384,391,439,386,396,407,434,390,392,393
41:384,391,439,386,396,407,434,390,392,393
19:384,391,439,386,396,407,434,390,392,393
245:384,391,439,386,396,407,434,390,392,393
223:384,391,439,386,396,407,434,390,392,393
69:384,391,439,386,396,407,434,390,392,393
36:384,391,439,386,396,407,434,390,392,393
229:384,391,439,386,396,407,434,390,392,393
196:384,391,439,386,396,407,434,390,392,393
174:384,391,439,386,396,407,434,390,392,393
42:384,391,439,386,396,407,434,390,392,393
257:384,391,439,386,396,407,434,390,392,393
224:384,391,439,386,396,407,434,390,392,393
202:384,391,439,386,396,407,434,390,392,393
70:384,391,439,386,396,407,434,390,392,393
59:384,391,439,386,396,407,434,390,392,393
37:384,391,439,386,396,407,434,390,392,393
241:384,391,439,386,396,407,434,390,392,393
142:384,391,439,386,396,407,434,390,392,393
43:384,391,439,386,396,407,434,390,392,393
